ACO,ADCORDESC,ADMATDESC,ATUALIZADO,BEIRASOLA,BLOQ_246F,CAPASALTO,CAP_PRODUT,CARIMBO,CAVIDADE,CENTRIFUGA,CFACE1,CFACE2,CFOP,CLASFISC,CLIENTE,CODCOR,CODFISC,CODIFISC,CODIGO,CODI_ROY,COLECAO,COMBINAC,COMB_COR,COMISSAO,COMIS_ROY,CONSTRUC,COR01,COR02,COR03,COR04,COR05,COR06,COR07,CORPALM,CORRUGADO,CORR_CHAVE,COR_AD_01,COR_AD_02,COR_ECO,CUSTOS,CUST_ADIC,CUST_TAREF,C_ELASTICO,C_VIES,DESCDAFITI,DESCFAT,DIGITACAO,DISPONIVEL,DTA_DESENV,DT_ULT_FAT,EAN13,ESTOQUE,FABRICA,FINAL,FORMA,FORRO,FOTOGRAFIA,GRADE,GRADELIVRE,GRD_TALAO,HORA,HORA_ATU,INTERNET,ITEM_BRIO,LARGURA,LINHA,MARCADO,MARCAR,MARCPALM,MATER_CXA,MATESTOQUE,MATRIZ,MAT_ECO,MERCADO,MFACE1,MFACE2,MODELOCOML,NAVALHA,NET,NMEDIOGRAD,NOME,NOMECOR,NOME_ROY,NSUBCAT,NUMCOR,OBS,OBS_FOTO,OPERADOR,PALMILHA,PERC_AGREG,PESO,PRECO,PRECO2,PRECO3,PRECO_FAB,PROCES_TXT,PROCES_VAL,PROD_TXT,PROD_VAL,QTDEVOL,QTDE_TALAO,REFCOSTPOL,REFCOSTRED,REFER,REFERCLIE,REFILAR,REFPALMA,REFTOTAL,RISCO,ROYALTIE,SALTO,SEGMENTO,SEGUIR,SEL01,SEL02,SEL03,SEL04,SEL05,SEL06,SEL07,SEL08,SEL09,SEL10,SEL11,SEL12,SEL13,SEL14,SEL15,SEL16,SEL17,SEL18,SEL19,SEL20,SEM_AGREG,SEQUENCIA,SETORPALM,SITUACAO,SOLA,SPEED_CLAS,SPEED_CODI,SUBCAT,TAB_CAPA,TIPO16,TIPOCARIMB,TIPOPALM,TIPOPROD,TIRAPOLIND,TORNO,UNID_TALAO
0,False,False,2026-03-09,,False,0,0,,0,0,,,5124,D0,000367,,91,,6,,,,0001,0.0,0.0,,,,,,,,,PRETO,0,,,,,,0.0,0.0,False,False,,PALMILHA EM EVA 5MM BRANCO NAV 10067 DUB TECIDO DRY COLL CREMA WHITE TAMP. AREZZO PRETO,2026-03-03,0.0,,,,0.0,,0.0,,,\Fotos\WHATSAPP IMAGE 2026-03-04 AT 14.19.11 (3).JPEG,MI,False,0,10:28,08:24,,,,,False,,AREZZO,,,PLANA,,0,,,,10067,False,0,PALM PLANA 5MM NAV10067 CREMA WHITE,,,0,1,TAMPOGRAFIA AREZZO,,GISELE,,0.0,0.0,1.84,0.0,0.0,0.0,4-PLANA,5,1-PALM PLA,2,0,0,False,False,,0051885.72853,0.0,False,False,,0,,,,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,0,,002-PLANA,False,,0,,,,0,,0,,False,0.0,0
0,False,False,2026-03-09,,False,0,0,,0,0,,,5101,D0,000373,,01,,17,,,,0006,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,False,False,,PALM CONFORMADA 298 DUB TECIDO PRETO - SEM RECORTE,2026-03-05,0.0,,,,0.0,,0.0,,,\Fotos\RMS PRETO.JPEG,MI,False,0,17:13,08:25,,,,,False,,SEM MARCA,,,298,,0,,,,SEM RECORTE,False,0,PALM CONF 298 PRETO,,,0,1,,,GISELE,,0.0,0.0,2.95,0.0,0.0,0.0,3-TERMO CONFORMADA,4,2-PALM CON,3,0,0,False,False,,,0.0,False,False,,0,,,,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,0,,001-CONFORMADA,False,,0,,,,0,,0,,False,0.0,0
0,False,False,2026-03-09,,False,0,0,,0,0,,,5101,D0,000373,,01,,19,,,,0005,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,False,False,,PALM CONFORMADA 298 DUB TECIDO BRANCO - SEM RECORTE,2026-03-05,0.0,,,,0.0,,0.0,,,\Fotos\RMS BCO.JPEG,MI,False,0,17:36,08:26,,,,,False,,SEM MARCA,,,298,,0,,,,SEM RECORTE,False,0,PALM CONF 298 BRANCO,,,0,1,,,GISELE,,0.0,0.0,2.95,0.0,0.0,0.0,3-TERMO CONFORMADA,4,2-PALM CON,3,0,0,False,False,,,0.0,False,False,,0,,,,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,0,,001-CONFORMADA,False,,0,,,,0,,0,,False,0.0,0
0,False,False,2026-03-10,,False,0,0,,0,0,,,5101,D0,000380,,01,,38,,,,0020,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,False,False,,PALMILHA CONF. EM EVA BRANCO REF 293 DUB. COM BEGE SEM CARIMBO,2026-03-10,0.0,,,,0.0,,0.0,,,\Fotos\BEGE (2).JPEG,MI,False,0,09:34,09:46,,,,,False,,SEM MARCA,,,293,,0,,,,293,False,0,293 BEGE,,,0,1,,,GISELE,,0.0,0.0,2.7,0.0,0.0,0.0,,1,2-PALM CON,3,0,0,False,False,,,0.0,False,False,,0,,,,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,0,,001-CONFORMADA,False,,0,,,,0,,0,,False,0.0,0
,,,2026-03-16,,,,,,,,,,5124,D0,000384,,01,,53,,,,0024,,,,,,,,,,,BRANCO,,,,,,,,,,,,PALM PLANA EVA 3MM + TECIDO PRETO REF473,2026-03-16,,,,,,,,,,,CA,,,13:02,15:31,,,,,,,CAPEZIO,,,PLANA,,,,,,473,,,PALM PLANA EVA 3MM + TECIDO PRETO REF473,,,,1,SERIG. CAPEZIO BRANCO,,GISELE,,0.0,,1.32,,,,4-PLANA,5,1-PALM PLA,2,,,,,,473,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,,,False,,,002-PLANA,,,,,,,,,,,,,
0,False,False,2026-03-09,,False,0,0,,0,0,,,5124,D0,000367,,91,,7,,,,0002,0.0,0.0,,,,,,,,,PRETO,0,,,,,,0.0,0.0,False,False,,PALMILHA CONF. L.11006 EVA 298 BRANCO DUB TEC DRY COLL BIANCO TAMP. AREZZO PRETO,2026-03-03,0.0,,,,0.0,,0.0,,,\Fotos\BIANCO 298.JPEG,MI,False,0,10:33,08:24,,,,,False,,AREZZO,,,298,,0,,,,10965,False,0,PALM CONFORMADA 298 L11006 BIANCO,,,0,1,TAMPOGRAFIA AREZZO PRETO,,GISELE,,0.0,0.0,2.4,0.0,0.0,0.0,3-TERMO CONFORMADA,4,2-PALM CON,3,0,0,False,False,,0013490.29606,0.0,False,False,,0,,,,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,0,,001-CONFORMADA,False,,0,,,,0,,0,,False,0.0,0
0,False,False,2026-03-09,,False,0,0,,0,0,,,5124,D0,000367,,91,,8,,,,0001,0.0,0.0,,,,,,,,,PRETO,0,,,,,,0.0,0.0,False,False,,PALMILHA CONF. L.11006 EVA 298 BRANCO DUB TEC DRY COLL CREMA WHITE TAMP. AREZZO PRETO,2026-03-03,0.0,,,,0.0,,0.0,,,\Fotos\298 CREMA.JPEG,MI,False,0,11:03,08:25,,,,,False,,AREZZO,,,298,,0,,,,10965,False,0,PALM CONFORMADA 298 L11006 CREMA WHITE,,,0,1,TAMP. AREZZO PRETO,,GISELE,,0.0,0.0,2.4,0.0,0.0,0.0,3-TERMO CONFORMADA,4,2-PALM CON,3,0,0,False,False,,0013490.29606,0.0,False,False,,0,,,,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,0,,001-CONFORMADA,False,,0,,,,0,,0,,False,0.0,0
0,False,False,2026-03-09,,False,0,0,,0,0,,,5124,D0,000367,,91,,9,,,,0001,0.0,0.0,,,,,,,,,PRETO,0,,,,,,0.0,0.0,False,False,,PALMILHA CONF. L.13559 EVA 297 BRANCO DUB TEC DRY COLL CREMA WHITE TAMP. AREZZO PRETO,2026-03-03,0.0,,,,0.0,,0.0,,,\Fotos\WHATSAPP IMAGE 2026-03-04 AT 14.19.11.JPEG,MI,False,0,14:53,08:25,,,,,False,,AREZZO,,,297,,0,,,,10965,False,0,PALM CONFORMADA 297 L13559 CREMA WHITE,,,0,1,TAMP. AREZZO PRETO,,GISELE,,0.0,0.0,2.4,0.0,0.0,0.0,3-TERMO CONFORMADA,4,2-PALM CON,3,0,0,False,False,,0046605.72853,0.0,False,False,,0,,,,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,0,,001-CONFORMADA,False,,0,,,,0,,0,,False,0.0,0
0,False,False,2026-03-09,,False,0,0,,0,0,,,5101,D0,000368,,01,,10,,,,0003,0.0,0.0,,,,,,,,,NO EVA,0,,,,,,0.0,0.0,False,False,,PALMILHA CONF. EM EVA REF RSV 292 RESERVA - VERMELHO 33 ao 40,2026-03-03,0.0,,,,0.0,,0.0,,,\Fotos\WHATSAPP IMAGE 2026-03-05 AT 15.09.30.JPEG,MI,False,0,15:07,16:34,,,,,False,,RESERVA,,,292,,0,,,,RSV292,False,0,PALM CONF RESERVA VERMELHO 33 AO 40,,,0,1,,,GISELE,,0.0,0.0,7.23,0.0,0.0,0.0,3-TERMO CONFORMADA,4,2-PALM CON,3,0,0,False,False,,851,0.0,False,False,,0,,,,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,0,,001-CONFORMADA,False,,0,,,,0,,0,,False,0.0,0
,,,2026-03-09,,,,,,,,,,5101,D0,000374,,01,,20,,,,0005,,,,,,,,,,,,,,,,,,,,,,,PALM CONF 290 EVA BRANCO DUB TECIDO BRANCO **33,2026-03-05,,,,,,,,,,\Fotos\BRANCO 290.JPEG,MI,,,17:41,08:26,,,,,,,SEM MARCA,,,290,,,,,,290,,,PALM 290 BRANCO,,,,1,,,GISELE,,,,3.38,,,,3-TERMO CONFORMADA,4,2-PALM CON,3,,,,,,3305410,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,,,,False,,,,False,,,001-CONFORMADA,,,,,,,,,,,,,
