AGRUPADO,ATUALIZADO,BLOQ_2469,CANCELADO,CODIGO,DE_ATE,DE_ESTOQUE,DTULTSETOR,EMPROD,EXPEDICAO,FATURADO,GRADE,HORA_ATU,IMPRESSO,IMP_ETIQ,ITEM,ITEMNF,LOTE,MATERIAL,MI,NFISCAL,NOME,NUMEROS,PEDIDO,PRODUCAO,QTDE_ETIQ,QUEBORIGEM,REFERENCIA,REMESSA,SERIE,SETORESTOQ,TOTAL,ULTSETOR
False,2026-03-13,False,False,00002201,001-006,False,,,,,,14:55,True,,001,,000001,,N,,,00000000000000000000001500000000000000000000000000000000000000015,000012,,,,,000023,,,15,
False,2026-03-13,False,False,00002202,002-006,False,,,,,,14:55,True,,001,,000001,,N,,,00000000000000000000000000150000000000000000000000000000000000015,000012,,,,,000023,,,15,
False,2026-03-13,False,False,00002203,003-006,False,,,,,,14:55,True,,001,,000001,,N,,,00000000000000000000000000000000003000000000000000000000000000030,000012,,,,,000023,,,30,
False,2026-03-13,False,False,00002204,004-006,False,,,,,,14:55,True,,001,,000001,,N,,,00000000000000000000000000000000000000300000000000000000000000030,000012,,,,,000023,,,30,
False,2026-03-17,False,False,00002501,001-001,False,,,,,,09:00,True,,001,,000001,,S,,,00000002000700170014002000110004000000000000000000000000000000075,000014,,,,,000026,,,75,
False,2026-03-17,False,False,00002606,006-007,False,,,,,,09:00,True,,002,,000001,,N,,,00000000000000000000000000220000000000000000000000000000000000022,000014,,,,,000026,,,22,
False,2026-03-17,False,False,00002607,007-007,False,,,,,,09:00,True,,002,,000001,,N,,,00000000000000000000000000000009000000000000000000000000000000009,000014,,,,,000026,,,9,
False,2026-03-17,False,False,00002701,001-007,False,,,,,,09:00,True,,003,,000001,,N,,,00000005000000000000000000000000000000000000000000000000000000005,000014,,,,,000026,,,5,
False,2026-03-17,False,False,00002702,002-007,False,,,,,,09:00,True,,003,,000001,,N,,,00000000001500000000000000000000000000000000000000000000000000015,000014,,,,,000026,,,15,
False,2026-03-17,False,False,00002703,003-007,False,,,,,,09:00,True,,003,,000001,,N,,,00000000000000270000000000000000000000000000000000000000000000027,000014,,,,,000026,,,27,
False,2026-03-17,False,False,00002704,004-007,False,,,,,,09:00,True,,003,,000001,,N,,,00000000000000000018000000000000000000000000000000000000000000018,000014,,,,,000026,,,18,
False,2026-03-17,False,False,00002705,005-007,False,,,,,,09:00,True,,003,,000001,,N,,,00000000000000000000003600000000000000000000000000000000000000036,000014,,,,,000026,,,36,
False,2026-03-17,False,False,00002706,006-007,False,,,,,,09:00,True,,003,,000001,,N,,,00000000000000000000000000260000000000000000000000000000000000026,000014,,,,,000026,,,26,
False,2026-03-17,False,False,00002707,007-007,False,,,,,,09:00,True,,003,,000001,,N,,,00000000000000000000000000000017000000000000000000000000000000017,000014,,,,,000026,,,17,
False,2026-03-17,False,False,00002801,001-013,False,,,,,,09:00,True,,001,,000001,,N,,,00000000001000000000000000000000000000000000000000000000000000010,000019,,,,,000027,,,10,
False,2026-03-17,False,False,00002802,002-013,False,,,,,,09:00,True,,001,,000001,,N,,,00000000000000100000000000000000000000000000000000000000000000010,000019,,,,,000027,,,10,
False,2026-03-17,False,False,00002803,003-013,False,,,,,,09:00,True,,001,,000001,,N,,,00000000000000000010000000000000000000000000000000000000000000010,000019,,,,,000027,,,10,
False,2026-03-17,False,False,00002804,004-013,False,,,,,,09:00,True,,001,,000001,,N,,,00000000000000000000001000000000000000000000000000000000000000010,000019,,,,,000027,,,10,
False,2026-03-17,False,False,00002805,005-013,False,,,,,,09:00,True,,001,,000001,,N,,,00000000000000000000000000400000000000000000000000000000000000040,000019,,,,,000027,,,40,
False,2026-03-13,False,False,00001504,004-015,False,,,,,,11:16,True,,009,,000001,,N,,,00000000012000000000000000000000000000000000000000000000000000120,000002,,,,,000016,,,120,
False,2026-03-13,False,False,00001505,005-015,False,,,,,,11:16,True,,009,,000001,,N,,,00000000002500000000000000000000000000000000000000000000000000025,000002,,,,,000016,,,25,
False,2026-03-13,False,False,00001506,006-015,False,,,,,,11:16,True,,009,,000001,,N,,,00000000000001200000000000000000000000000000000000000000000000120,000002,,,,,000016,,,120,
